,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,spotPrice,timetoMaturity
62,SPX260320C06725000,2026-03-13 20:13:32+00:00,6725.0,45.5,52.5,53.4,0.0,0.0,1989.0,4554.0,0.296607375793457,False,REGULAR,USD,^SPX,6632.18994140625,7
63,SPX260320C06730000,2026-03-16 01:39:53+00:00,6730.0,44.31,50.1,51.0,-0.59000015,-1.3140315,2.0,3046.0,0.2940515541839599,False,REGULAR,USD,^SPX,6632.18994140625,7
64,SPX260320C06735000,2026-03-13 20:14:30+00:00,6735.0,40.7,47.6,48.5,0.0,0.0,389.0,3155.0,0.29095023632049555,False,REGULAR,USD,^SPX,6632.18994140625,7
65,SPXW260320C06740000,2026-03-16 10:58:19+00:00,6740.0,49.13,49.7,50.2,5.799999,13.385643,6.0,388.0,0.30264979583740237,False,REGULAR,USD,^SPX,6632.18994140625,7
66,SPX260320C06745000,2026-03-13 19:55:40+00:00,6745.0,38.65,43.0,43.9,0.0,0.0,11.0,1437.0,0.2855753816223144,False,REGULAR,USD,^SPX,6632.18994140625,7
67,SPX260320C06750000,2026-03-16 11:01:24+00:00,6750.0,40.2,40.9,41.9,5.1100006,14.562555,121.0,18032.0,0.2836833106994628,False,REGULAR,USD,^SPX,6632.18994140625,7
68,SPXW260320C06760000,2026-03-16 10:55:03+00:00,6760.0,39.78,40.5,41.0,4.5999985,13.075606,43.0,392.0,0.290999826889038,False,REGULAR,USD,^SPX,6632.18994140625,7
69,SPXW260320C06765000,2026-03-16 11:12:09+00:00,6765.0,37.98,38.4,38.9,2.459999,6.925673,27.0,193.0,0.2883066775512695,False,REGULAR,USD,^SPX,6632.18994140625,7
70,SPX260320C06770000,2026-03-16 10:42:38+00:00,6770.0,30.3,32.1,33.0,2.4399986,8.758071,10.0,2956.0,0.2705685126495362,False,REGULAR,USD,^SPX,6632.18994140625,7
71,SPXW260320C06775000,2026-03-16 10:59:22+00:00,6775.0,34.9,34.4,34.9,4.300001,14.052292,9.0,2408.0,0.2830500772857666,False,REGULAR,USD,^SPX,6632.18994140625,7
72,SPX260320C06780000,2026-03-13 19:58:10+00:00,6780.0,26.5,28.2,29.1,0.0,0.0,35.0,4775.0,0.264655791015625,False,REGULAR,USD,^SPX,6632.18994140625,7
73,SPXW260320C06785000,2026-03-16 10:27:07+00:00,6785.0,28.59,30.4,30.8,1.0900002,3.9636369,7.0,3119.0,0.27644308769226067,False,REGULAR,USD,^SPX,6632.18994140625,7
74,SPX260320C06790000,2026-03-13 19:25:08+00:00,6790.0,25.65,24.5,25.4,0.0,0.0,56.0,5458.0,0.2584989311981202,False,REGULAR,USD,^SPX,6632.18994140625,7
75,SPXW260320C06795000,2026-03-16 10:23:27+00:00,6795.0,24.7,26.9,27.4,0.20000076,0.81632966,6.0,368.0,0.2717205397033691,False,REGULAR,USD,^SPX,6632.18994140625,7
76,SPXW260320C06800000,2026-03-16 11:43:06+00:00,6800.0,25.79,25.2,25.6,2.9900017,13.114043,60.0,1860.0,0.2685543726348877,False,REGULAR,USD,^SPX,6632.18994140625,7
77,SPXW260320C06805000,2026-03-16 10:59:22+00:00,6805.0,23.7,23.4,23.7,2.3000011,10.747669,5.0,374.0,0.2646481616973877,False,REGULAR,USD,^SPX,6632.18994140625,7
78,SPXW260320C06810000,2026-03-16 07:22:20+00:00,6810.0,20.46,21.6,21.9,0.8899994,4.5477743,16.0,606.0,0.2608563905334473,False,REGULAR,USD,^SPX,6632.18994140625,7
79,SPX260320C06815000,2026-03-13 19:08:32+00:00,6815.0,20.69,16.5,17.4,0.0,0.0,20.0,3505.0,0.24345391563415528,False,REGULAR,USD,^SPX,6632.18994140625,7
80,SPXW260320C06820000,2026-03-16 10:43:28+00:00,6820.0,16.5,18.7,19.1,-1.1700001,-6.6213927,9.0,681.0,0.2561033252716065,False,REGULAR,USD,^SPX,6632.18994140625,7
81,SPXW260320C06825000,2026-03-16 11:43:06+00:00,6825.0,17.79,17.3,17.6,1.5400009,9.476929,14.0,1200.0,0.2527845718383789,False,REGULAR,USD,^SPX,6632.18994140625,7
82,SPXW260320C06830000,2026-03-13 20:11:11+00:00,6830.0,15.2,15.9,16.2,0.0,0.0,510.0,617.0,0.24962603408813477,False,REGULAR,USD,^SPX,6632.18994140625,7
83,SPX260320C06835000,2026-03-13 20:00:31+00:00,6835.0,12.42,11.4,12.1,0.0,0.0,31.0,4913.0,0.23072058349609376,False,REGULAR,USD,^SPX,6632.18994140625,7
84,SPX260320C06840000,2026-03-13 20:06:54+00:00,6840.0,10.5,10.3,11.0,0.0,0.0,327.0,5753.0,0.2278519598388672,False,REGULAR,USD,^SPX,6632.18994140625,7
85,SPX260320C06845000,2026-03-13 19:58:08+00:00,6845.0,10.2,9.4,10.0,0.0,0.0,46.0,5256.0,0.22520458641052246,False,REGULAR,USD,^SPX,6632.18994140625,7
86,SPXW260320C06850000,2026-03-16 10:55:14+00:00,6850.0,10.8,10.9,11.2,-0.19999981,-1.8181801,58.0,2146.0,0.23657989990234374,False,REGULAR,USD,^SPX,6632.18994140625,7
87,SPX260320C06855000,2026-03-13 20:02:47+00:00,6855.0,8.2,7.3,8.0,0.0,0.0,458.0,8231.0,0.21862048477172852,False,REGULAR,USD,^SPX,6632.18994140625,7
88,SPX260320C06860000,2026-03-13 20:05:20+00:00,6860.0,7.3,6.7,7.3,0.0,0.0,178.0,6704.0,0.21685048294067383,False,REGULAR,USD,^SPX,6632.18994140625,7
89,SPXW260320C06870000,2026-03-16 11:46:31+00:00,6870.0,7.4,7.2,7.5,-0.4000001,-5.128206,4.0,715.0,0.22527325027465817,False,REGULAR,USD,^SPX,6632.18994140625,7
