,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,spotPrice,timetoMaturity
54,SPX260320C06745000,2026-03-13 19:55:40+00:00,6745.0,38.65,35.0,36.8,-31.75,-45.09943,11.0,1431.0,0.2192460888671875,False,REGULAR,USD,^SPX,6632.18994140625,7
55,SPX260320C06750000,2026-03-13 20:12:01+00:00,6750.0,35.09,33.2,34.9,-27.310001,-43.76603,1239.0,18222.0,0.2176439320373535,False,REGULAR,USD,^SPX,6632.18994140625,7
56,SPXW260320C06755000,2026-03-13 20:13:02+00:00,6755.0,37.43,36.1,36.9,-25.09,-40.131157,179.0,106.0,0.22846230529785155,False,REGULAR,USD,^SPX,6632.18994140625,7
57,SPXW260320C06760000,2026-03-13 20:05:45+00:00,6760.0,35.18,34.3,35.2,-24.849998,-41.39597,440.0,333.0,0.2273522394943237,False,REGULAR,USD,^SPX,6632.18994140625,7
58,SPXW260320C06765000,2026-03-13 19:56:38+00:00,6765.0,35.52,32.6,33.4,-22.89,-39.188496,151.0,128.0,0.22575389732360837,False,REGULAR,USD,^SPX,6632.18994140625,7
59,SPX260320C06770000,2026-03-13 20:05:09+00:00,6770.0,27.86,26.6,28.2,-25.939999,-48.215614,125.0,2971.0,0.21239496109008787,False,REGULAR,USD,^SPX,6632.18994140625,7
60,SPXW260320C06775000,2026-03-13 20:14:52+00:00,6775.0,30.6,29.3,30.1,-24.24,-44.201313,2187.0,685.0,0.2230378600311279,False,REGULAR,USD,^SPX,6632.18994140625,7
61,SPX260320C06780000,2026-03-13 19:45:28+00:00,6780.0,26.5,23.5,25.1,-24.93,-48.47365,35.0,4772.0,0.2095263374328613,False,REGULAR,USD,^SPX,6632.18994140625,7
62,SPXW260320C06785000,2026-03-13 20:14:51+00:00,6785.0,27.5,26.2,27.0,-23.009998,-45.555332,3185.0,256.0,0.22029893478393553,False,REGULAR,USD,^SPX,6632.18994140625,7
63,SPX260320C06790000,2026-03-13 19:25:08+00:00,6790.0,25.65,20.7,22.3,-20.65,-44.600433,56.0,5428.0,0.2069705158233642,False,REGULAR,USD,^SPX,6632.18994140625,7
64,SPXW260320C06795000,2026-03-13 20:10:29+00:00,6795.0,24.5,23.3,24.1,-22.75,-48.148148,356.0,234.0,0.21755238021850587,False,REGULAR,USD,^SPX,6632.18994140625,7
65,SPXW260320C06800000,2026-03-13 20:14:31+00:00,6800.0,22.8,21.9,22.7,-19.100002,-45.58473,2465.0,1380.0,0.21607992179870603,False,REGULAR,USD,^SPX,6632.18994140625,7
66,SPXW260320C06805000,2026-03-13 20:10:50+00:00,6805.0,21.4,20.6,21.3,-21.1,-49.64706,410.0,252.0,0.21440147178649901,False,REGULAR,USD,^SPX,6632.18994140625,7
67,SPXW260320C06810000,2026-03-13 20:05:01+00:00,6810.0,19.57,19.3,20.0,-21.0,-51.762383,616.0,390.0,0.2129137547302246,False,REGULAR,USD,^SPX,6632.18994140625,7
68,SPX260320C06815000,2026-03-13 19:08:32+00:00,6815.0,20.69,14.6,16.0,-19.01,-47.884132,20.0,3503.0,0.1997302928161621,False,REGULAR,USD,^SPX,6632.18994140625,7
69,SPXW260320C06820000,2026-03-13 20:07:01+00:00,6820.0,17.67,16.8,17.6,-19.070002,-51.90528,356.0,609.0,0.21012905357360837,False,REGULAR,USD,^SPX,6632.18994140625,7
70,SPXW260320C06825000,2026-03-13 20:13:29+00:00,6825.0,16.25,15.7,16.4,-18.650002,-53.438396,751.0,1155.0,0.20842008628845207,False,REGULAR,USD,^SPX,6632.18994140625,7
71,SPXW260320C06830000,2026-03-13 20:11:11+00:00,6830.0,15.2,14.6,15.3,-17.7,-53.799393,510.0,436.0,0.20691711059570309,False,REGULAR,USD,^SPX,6632.18994140625,7
